word,meaning
car,자동차
house,집
tree,나무
computer,컴퓨터
phone,전화기
water,물
food,음식
school,학교
book,책
pen,펜
cat,고양이
dog,개
chair,의자
table,테이블
window,창문
door,문
bed,침대
lamp,램프
television,텔레비전
sofa,소파
floor,바닥
ceiling,천장
wall,벽
cup,컵
plate,접시
fork,포크
spoon,숟가락
knife,칼
glass,유리
bottle,병
bag,가방
shoes,신발
socks,양말
shirt,셔츠
pants,바지
hat,모자
coat,코트
sweater,스웨터
dress,드레스
suit,정장
belt,벨트
watch,시계
ring,반지
glove,장갑
scarf,스카프
wallet,지갑
key,열쇠
money,돈
coin,동전
note,지폐
ticket,티켓
passport,여권
bank,은행
hospital,병원
police,경찰
fire,불
accident,사고
medicine,약
doctor,의사
nurse,간호사
friend,친구
family,가족
love,사랑
happy,행복
sad,슬픔
angry,화남
hungry,배고픔
thirsty,목마름
tired,피곤함
sleep,잠
wake,깨어남
run,달리다
walk,걷다
stand,서다
sit,앉다
jump,뛰다
dance,춤추다
sing,노래하다
listen,듣다
read,읽다
write,쓰다
draw,그리다
cook,요리하다
clean,청소하다
wash,씻다
drive,운전하다
ride,타다
fly,날다
swim,수영하다
climb,오르다
laugh,웃다
cry,울다
speak,말하다
tell,말해주다
ask,묻다
answer,대답하다
learn,배우다
teach,가르치다
work,일하다
play,놀다
study,공부하다
game,게임
music,음악
song,노래
movie,영화
art,예술
picture,사진
painting,그림
color,색깔
black,검정
white,흰색
red,빨간색
blue,파란색
green,초록색
yellow,노란색
purple,보라색
orange,오렌지색
pink,분홍색
brown,갈색
grey,회색
light,빛
dark,어두움
sun,태양
moon,달
star,별
sky,하늘
cloud,구름
rain,비
snow,눈
wind,바람
thunder,천둥
lightning,번개
river,강
lake,호수
ocean,바다
mountain,산
hill,언덕
island,섬
forest,숲
tree,나무
flower,꽃
leaf,잎
grass,잔디
bird,새
fish,물고기
animal,동물
insect,곤충
baby,아기
child,아이
man,남자
woman,여자
boy,소년
girl,소녀
people,사람들
friend,친구
neighbor,이웃
teacher,선생님
student,학생
boss,상사
employee,직원
worker,노동자
farmer,농부
driver,운전자
artist,예술가
musician,음악가
actor,배우
writer,작가
doctor,의사
nurse,간호사
police,경찰
firefighter,소방관
soldier,군인
chef,요리사
waiter,웨이터
job,직업
work,일
task,업무
break,쉬다
vacation,휴가
weekend,주말
holiday,휴일
home,집
house,집
room,방
kitchen,부엌
bathroom,욕실
bedroom,침실
living,room,거실
yard,마당
garden,정원
park,공원
city,도시
village,마을
country,국가
street,거리
road,도로
bridge,다리
building,건물
apartment,아파트
hotel,호텔
restaurant,식당
cafe,카페
shop,가게
market,시장
mall,쇼핑몰
station,역
airport,공항
port,항구
taxi,택시
bus,버스
train,기차
plane,비행기
boat,배
bicycle,자전거
motorcycle,오토바이
car,자동차
truck,트럭
air,공기
water,물
fire,불
ice,얼음
heat,열
cold,추위
warm,따뜻함
dry,건조함
wet,습기
clean,깨끗함
dirty,더러움
empty,빈
full,가득
heavy,무거움
light,가벼움
strong,강함
weak,약함
fast,빠름
slow,느림
early,일찍
late,늦게
good,좋은
bad,나쁜
new,새로운
old,오래된
young,젊은
safe,안전한
dangerous,위험한
rich,부유한
poor,가난한
happy,행복한
sad,슬픈
angry,화난
excited,흥분한
tired,피곤한
hungry,배고픈
thirsty,목마른
easy,쉬운
difficult,어려운
simple,간단한
complex,복잡한
interesting,재미있는
boring,지루한
beautiful,아름다운
ugly,못생긴
big,큰
small,작은
long,긴
short,짧은
high,높은
low,낮은
near,가까운
far,먼
right,오른쪽
left,왼쪽
up,위쪽
down,아래쪽
in,안에
out,밖에
on,위에
off,떨어진
under,아래에
over,위에
between,사이에
beside,옆에
around,주변에
